slug,seatgeek_venue_id,venue_name,city,state,events_total
ball-arena,187,Ball Arena,Denver,CO,63
bluebird-theater,3183,August Wilson Theatre,New York,NY,141
bluebird-theater-denver,555,Bluebird Theater - Denver,Denver,CO,50
coors-field,7,Coors Field,Denver,CO,85
dick-s-sporting-goods-park,3497,Dick's Sporting Goods Park,Commerce City,CO,19
empower-field-at-mile-high,1131,Empower Field at Mile High,Denver,CO,18
fiddlers-green-amphitheatre,196,Red Rocks Amphitheatre,Morrison,CO,117
fillmore-auditorium-denver,451,Fillmore Auditorium - Denver,Denver,CO,25
gothic-theatre,828,Gothic Theatre,Englewood,CO,32
mishawaka-amphitheatre,6122,Mishawaka Amphitheatre,Bellvue,CO,7
mission-ballroom,467142,Mission Ballroom,Denver,CO,54
ogden-theatre,849,Ogden Theatre,Denver,CO,34
prerender-client,51759,Theatre at St. Clement's,New York,NY,0
prerender-ppr,281213,PPA Events Center,Denver,CO,0
red-rocks-amphitheatre,196,Red Rocks Amphitheatre,Morrison,CO,117
